dialogue_id,sentence_id,speaker,text,is_immoral,types,intensity
615281b0aab10bca18a468e2,615281b0aab10bca18a468e2-1,1,부랴부랴 왔는데 아무도 안왔네. 시간개념들이 없네,True,CENSURE,2.0
615281b0aab10bca18a468e2,615281b0aab10bca18a468e2-2,2,맞아. 사람들이 진짜 개념이없다,True,CENSURE,2.0
615281b0aab10bca18a468e2,615281b0aab10bca18a468e2-3,1,저렇게는 살지 말아야지,True,CENSURE,2.0
615281b0aab10bca18a468e2,615281b0aab10bca18a468e2-4,2,그러게 게으르고 멍청한 사람들은 맞아야해,True,CENSURE,2.0
615281c2aab10bca18a4b716,615281c2aab10bca18a4b716-1,1,인방 보는 남자는 거르는게 맞다,True,CENSURE,1.0
615281c2aab10bca18a4b716,615281c2aab10bca18a4b716-2,2,특히 벗방보는 애들은 진짜 거세 시켜야함,True,"HATE,CENSURE,SEXUAL",2.0
615281c2aab10bca18a4b716,615281c2aab10bca18a4b716-3,3,볼 게 없어서 벗방을 보냐 ㅋㅋㅋ,True,"CENSURE,SEXUAL",2.0
615281c2aab10bca18a4b716,615281c2aab10bca18a4b716-4,4,사회성이 얼마나 떨어지면 그러냐 ㅋㅋㅋ,True,CENSURE,1.0
615d33ea78290791e9561d5c,615d33ea78290791e9561d5c-1,1,댓글에 빠순이들 몰려와서 즈그 주인님 쉴드치는 꼴 좀 봐,True,"HATE,CENSURE",2.0
615d33ea78290791e9561d5c,615d33ea78290791e9561d5c-2,1,이래서 인방충~ 인방충~ 하는거 구나,True,"HATE,CENSURE",2.0
615d33ea78290791e9561d5c,615d33ea78290791e9561d5c-3,2,쉴드가 아니라 국가가 면제해준거야.,False,IMMORAL_NONE,0
615281b8aab10bca18a48f47,615281b8aab10bca18a48f47-1,1,에로배우들을 데려다가 아이돌을 만드네,True,"CENSURE,SEXUAL",2.0
615281b8aab10bca18a48f47,615281b8aab10bca18a48f47-2,2,쟤네들은 표정이 딱 야동인데..,True,"CENSURE,SEXUAL",2.0
615d33fc78290791e9566bac,615d33fc78290791e9566bac-1,1,솔직히 여자 48kg이상은 나가 디져야 하는 거 아님,True,"HATE,CENSURE",2.0
615d33fc78290791e9566bac,615d33fc78290791e9566bac-2,2,그렇게 따지면 남자 170cm이하도 겨 나오면 안되지,True,CENSURE,1.0
615d33fc78290791e9566bac,615d33fc78290791e9566bac-3,1,짜져라 이 돼지 꿀꿀아,True,CENSURE,1.0
615d33fc78290791e9566c56,615d33fc78290791e9566c56-1,1,중국은 두 발달린 짐승,True,"HATE,CENSURE",1.0
615d33fc78290791e9566c56,615d33fc78290791e9566c56-2,2,짐승입장도 들어봐야지ㅋㅋ,False,IMMORAL_NONE,0
615d33fc78290791e9566c56,615d33fc78290791e9566c56-3,1,짱깨는 반드시 해체되어야 함,True,"HATE,CENSURE",1.0
61921b89b1bee6a4bd7bdd1f,61921b89b1bee6a4bd7bdd1f-1,1,#@인간및인간집단.인물.정치인.남성#이 이제 급하긴 한가보네,False,IMMORAL_NONE,0
61921b89b1bee6a4bd7bdd1f,61921b89b1bee6a4bd7bdd1f-2,1,깐부라고 부르기까지 하다니,False,IMMORAL_NONE,0
61921b89b1bee6a4bd7bdd1f,61921b89b1bee6a4bd7bdd1f-3,2,언제는 #@인간및인간집단.인물.정치인.남성# 역선택이라더니 이제 도와달라고 양심없고 비열한 인간,True,CENSURE,1.0
615d33f378290791e95644c2,615d33f378290791e95644c2-1,1,어머니 간 이식 해 주기 싫어서 도망쳤다고...?,False,IMMORAL_NONE,0
615d33f378290791e95644c2,615d33f378290791e95644c2-2,2,해 준 거 없는 부모한테는 간 이식 안 해 줘도 될 듯,True,CENSURE,2.0
615d33f378290791e95644c2,615d33f378290791e95644c2-3,3,나중에 애 낳으면 애들이 너 이식 안 해 줘서 죽었으면 좋겠다,True,CENSURE,3.0
6184c72f7052869c7ead416a,6184c72f7052869c7ead416a-1,1,와 드디어 일 다 했다,False,IMMORAL_NONE,0
6184c72f7052869c7ead416a,6184c72f7052869c7ead416a-2,1,줫빠지게 힘들어서 잣같았다,True,"ABUSE,SEXUAL",1.0
6184c72f7052869c7ead416a,6184c72f7052869c7ead416a-3,2,그동안 고생 많았어,False,IMMORAL_NONE,0
6184c72f7052869c7ead416a,6184c72f7052869c7ead416a-4,2,고생한 기념으로 내가 저녁 사 줄게,False,IMMORAL_NONE,0
6184cfae7052869c7ead611e,6184cfae7052869c7ead611e-1,1,"이번에 #@# 유뷰트 봤는데, 3차선에서 역주행하는 차가 있데",False,IMMORAL_NONE,0
6184cfae7052869c7ead611e,6184cfae7052869c7ead611e-2,2,한 번 보여줘봐,False,IMMORAL_NONE,0
6184cfae7052869c7ead611e,6184cfae7052869c7ead611e-3,2,저렇게 운전해 놓고 내려서 자기가 화를 내는거냐?,False,IMMORAL_NONE,0
6184cfae7052869c7ead611e,6184cfae7052869c7ead611e-4,1,저런 대응은 정말 이해가 안되지?,False,IMMORAL_NONE,0
